cluster,state,date_announced,date_last_onset,category,status
KLUSTER WARGA JEPUN,14,2020-03-01,2020-03-09,import,ended
KLUSTER UDA,"1,5,10,14,16",2020-03-04,2020-03-01,import,ended
KLUSTER KEAGAMAAN (TABLIGH SRI PETALING),0,2020-03-13,2020-03-11,religious,ended
KLUSTER TABLIGH NEW DELHI,"5,10,14,16",2020-03-16,2020-03-20,import,ended
KLUSTER AIROD,6,2020-03-31,2020-03-31,workplace,ended
KLUSTER PUI ITALI,13,2020-04-05,2020-03-20,import,ended
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MAJLIS PERKAHWINAN BANDAR BARU BANGI,"1,2,3,4,5,8,10,11,14,16",2020-04-06,2020-03-14,religious,ended
KLUSTER PERSIDANGAN GEREJA GNF,13,2020-04-06,2020-03-15,religious,ended
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER BANDAR BARU IBRAHIM MAJID & KAWASAN SEKITAR,1,2020-04-07,2020-03-13,religious,ended
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MENARA PLAZA CITY ONE,14,2020-04-07,2020-03-19,religious,ended
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER REMBAU,5,2020-04-08,2020-03-14,religious,ended
"SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MADRASAH BUSTANUL ULUM ABU BAKAR, AYER MERBAU",4,2020-04-12,2020-03-15,religious,ended
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER KAMPUNG SUNGAI LUI,10,2020-04-12,2020-03-16,religious,ended
"SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MAAHAD DARUL ULOOM AL-ISLAMIA, SUNGAI SALAN",6,2020-04-12,2020-03-18,religious,ended
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MADRASAH PENANTI,7,2020-04-12,2020-03-20,religious,ended
KLUSTER PUI BALI,"3,6",2020-04-13,2020-03-24,import,ended
KLUSTER BANDAR BARU SRI SENDAYAN,5,2020-04-14,2020-04-12,religious,ended
"KLUSTER TABLIGH MAKASAR (JOHOR), INDONESIA",1,2020-04-16,2020-03-15,import,ended
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER FLAT PKNS,14,2020-04-16,2020-03-16,religious,ended
"KLUSTER HPSF, MUAR",1,2020-04-16,2020-03-22,highRisk,ended
KLUSTER WARGA EMAS,10,2020-04-16,2020-03-22,highRisk,ended
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER PASIR GUDANG EDIBLE OIL (PGEO),1,2020-04-16,2020-03-22,religious,ended
KLUSTER IJN,"5,10,14,16",2020-04-16,2020-03-25,highRisk,ended
KLUSTER ISTANA NEGARA,"6,14",2020-04-16,2020-03-26,workplace,ended
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MALAYAN MANSION,14,2020-04-16,2020-03-26,religious,ended
"KLUSTER TABLIGH MAKASAR, INDONESIA",12,2020-04-16,2020-03-30,import,ended
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER SELANGOR MANSION,14,2020-04-16,2020-04-05,religious,ended
KLUSTER PAKISTAN,12,2020-04-16,2020-04-13,community,ended
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER PEKAN,6,2020-04-17,2020-03-15,religious,ended
KLUSTER HOSPITAL SUNGAI BULOH,10,2020-04-17,2020-03-23,highRisk,ended
KLUSTER HOSPITAL UMUM SARAWAK,13,2020-04-17,2020-03-31,highRisk,ended
KLUSTER PETUGAS KESIHATAN SABAH,12,2020-04-18,2020-04-03,highRisk,ended
"KLUSTER PESANTREN MAGETAN, JAWA TIMUR","4,5,10,13,16",2020-04-19,2020-04-19,import,ended
KLUSTER SEKSYEN 6 BANGI,10,2020-04-21,2020-03-17,community,ended
