id,cluster,date_announced,date_last_onset,category,status,state_id
1,KLUSTER WARGA JEPUN,2020-03-01,2020-03-09,import,ended,15
2,KLUSTER WARGA JEPUN,2020-03-01,2020-03-09,import,ended,1
3,KLUSTER UDA,2020-03-04,2020-03-01,import,ended,2
4,KLUSTER UDA,2020-03-04,2020-03-01,import,ended,6
5,KLUSTER UDA,2020-03-04,2020-03-01,import,ended,11
6,KLUSTER UDA,2020-03-04,2020-03-01,import,ended,15
7,KLUSTER UDA,2020-03-04,2020-03-01,import,ended,17
8,KLUSTER UDA,2020-03-04,2020-03-01,import,ended,1
9,KLUSTER KEAGAMAAN (TABLIGH SRI PETALING),2020-03-13,2020-03-11,religious,ended,1
10,KLUSTER TABLIGH NEW DELHI,2020-03-16,2020-03-20,import,ended,6
11,KLUSTER TABLIGH NEW DELHI,2020-03-16,2020-03-20,import,ended,11
12,KLUSTER TABLIGH NEW DELHI,2020-03-16,2020-03-20,import,ended,15
13,KLUSTER TABLIGH NEW DELHI,2020-03-16,2020-03-20,import,ended,17
14,KLUSTER TABLIGH NEW DELHI,2020-03-16,2020-03-20,import,ended,1
15,KLUSTER AIROD,2020-03-31,2020-03-31,workplace,ended,7
16,KLUSTER AIROD,2020-03-31,2020-03-31,workplace,ended,1
17,KLUSTER PUI ITALI,2020-04-05,2020-03-20,import,ended,14
18,KLUSTER PUI ITALI,2020-04-05,2020-03-20,import,ended,1
19,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MAJLIS PERKAHWINAN BANDAR BARU BANGI,2020-04-06,2020-03-14,religious,ended,2
20,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MAJLIS PERKAHWINAN BANDAR BARU BANGI,2020-04-06,2020-03-14,religious,ended,3
21,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MAJLIS PERKAHWINAN BANDAR BARU BANGI,2020-04-06,2020-03-14,religious,ended,4
22,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MAJLIS PERKAHWINAN BANDAR BARU BANGI,2020-04-06,2020-03-14,religious,ended,5
23,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MAJLIS PERKAHWINAN BANDAR BARU BANGI,2020-04-06,2020-03-14,religious,ended,6
24,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MAJLIS PERKAHWINAN BANDAR BARU BANGI,2020-04-06,2020-03-14,religious,ended,9
25,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MAJLIS PERKAHWINAN BANDAR BARU BANGI,2020-04-06,2020-03-14,religious,ended,11
26,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MAJLIS PERKAHWINAN BANDAR BARU BANGI,2020-04-06,2020-03-14,religious,ended,12
27,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MAJLIS PERKAHWINAN BANDAR BARU BANGI,2020-04-06,2020-03-14,religious,ended,15
28,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MAJLIS PERKAHWINAN BANDAR BARU BANGI,2020-04-06,2020-03-14,religious,ended,17
29,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MAJLIS PERKAHWINAN BANDAR BARU BANGI,2020-04-06,2020-03-14,religious,ended,1
30,KLUSTER PERSIDANGAN GEREJA GNF,2020-04-06,2020-03-15,religious,ended,14
31,KLUSTER PERSIDANGAN GEREJA GNF,2020-04-06,2020-03-15,religious,ended,1
32,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER BANDAR BARU IBRAHIM MAJID & KAWASAN SEKITAR,2020-04-07,2020-03-13,religious,ended,2
33,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER BANDAR BARU IBRAHIM MAJID & KAWASAN SEKITAR,2020-04-07,2020-03-13,religious,ended,1
34,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MENARA PLAZA CITY ONE,2020-04-07,2020-03-19,religious,ended,15
35,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MENARA PLAZA CITY ONE,2020-04-07,2020-03-19,religious,ended,1
36,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER REMBAU,2020-04-08,2020-03-14,religious,ended,6
37,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER REMBAU,2020-04-08,2020-03-14,religious,ended,1
38,"SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MADRASAH BUSTANUL ULUM ABU BAKAR, AYER MERBAU",2020-04-12,2020-03-15,religious,ended,5
39,"SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MADRASAH BUSTANUL ULUM ABU BAKAR, AYER MERBAU",2020-04-12,2020-03-15,religious,ended,1
40,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER KAMPUNG SUNGAI LUI,2020-04-12,2020-03-16,religious,ended,11
41,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER KAMPUNG SUNGAI LUI,2020-04-12,2020-03-16,religious,ended,1
42,"SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MAAHAD DARUL ULOOM AL-ISLAMIA, SUNGAI SALAN",2020-04-12,2020-03-18,religious,ended,7
43,"SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MAAHAD DARUL ULOOM AL-ISLAMIA, SUNGAI SALAN",2020-04-12,2020-03-18,religious,ended,1
44,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MADRASAH PENANTI,2020-04-12,2020-03-20,religious,ended,8
45,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MADRASAH PENANTI,2020-04-12,2020-03-20,religious,ended,1
46,KLUSTER PUI BALI,2020-04-13,2020-03-24,import,ended,4
47,KLUSTER PUI BALI,2020-04-13,2020-03-24,import,ended,7
48,KLUSTER PUI BALI,2020-04-13,2020-03-24,import,ended,1
49,KLUSTER BANDAR BARU SRI SENDAYAN,2020-04-14,2020-04-12,religious,ended,6
50,KLUSTER BANDAR BARU SRI SENDAYAN,2020-04-14,2020-04-12,religious,ended,1
51,"KLUSTER TABLIGH MAKASAR (JOHOR), INDONESIA",2020-04-16,2020-03-15,import,ended,2
52,"KLUSTER TABLIGH MAKASAR (JOHOR), INDONESIA",2020-04-16,2020-03-15,import,ended,1
53,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER FLAT PKNS,2020-04-16,2020-03-16,religious,ended,15
54,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER FLAT PKNS,2020-04-16,2020-03-16,religious,ended,1
55,"KLUSTER HPSF, MUAR",2020-04-16,2020-03-22,highRisk,ended,2
56,"KLUSTER HPSF, MUAR",2020-04-16,2020-03-22,highRisk,ended,1
57,KLUSTER WARGA EMAS,2020-04-16,2020-03-22,highRisk,ended,11
58,KLUSTER WARGA EMAS,2020-04-16,2020-03-22,highRisk,ended,1
59,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER PASIR GUDANG EDIBLE OIL (PGEO),2020-04-16,2020-03-22,religious,ended,2
60,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER PASIR GUDANG EDIBLE OIL (PGEO),2020-04-16,2020-03-22,religious,ended,1
61,KLUSTER IJN,2020-04-16,2020-03-25,highRisk,ended,6
62,KLUSTER IJN,2020-04-16,2020-03-25,highRisk,ended,11
63,KLUSTER IJN,2020-04-16,2020-03-25,highRisk,ended,15
64,KLUSTER IJN,2020-04-16,2020-03-25,highRisk,ended,17
65,KLUSTER IJN,2020-04-16,2020-03-25,highRisk,ended,1
66,KLUSTER ISTANA NEGARA,2020-04-16,2020-03-26,workplace,ended,7
67,KLUSTER ISTANA NEGARA,2020-04-16,2020-03-26,workplace,ended,15
68,KLUSTER ISTANA NEGARA,2020-04-16,2020-03-26,workplace,ended,1
69,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MALAYAN MANSION,2020-04-16,2020-03-26,religious,ended,15
70,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MALAYAN MANSION,2020-04-16,2020-03-26,religious,ended,1
71,"KLUSTER TABLIGH MAKASAR, INDONESIA",2020-04-16,2020-03-30,import,ended,13
72,"KLUSTER TABLIGH MAKASAR, INDONESIA",2020-04-16,2020-03-30,import,ended,1
73,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER SELANGOR MANSION,2020-04-16,2020-04-05,religious,ended,15
74,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER SELANGOR MANSION,2020-04-16,2020-04-05,religious,ended,1
75,KLUSTER PAKISTAN,2020-04-16,2020-04-13,community,ended,13
76,KLUSTER PAKISTAN,2020-04-16,2020-04-13,community,ended,1
77,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER PEKAN,2020-04-17,2020-03-15,religious,ended,7
78,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER PEKAN,2020-04-17,2020-03-15,religious,ended,1
79,KLUSTER HOSPITAL SUNGAI BULOH,2020-04-17,2020-03-23,highRisk,ended,11
80,KLUSTER HOSPITAL SUNGAI BULOH,2020-04-17,2020-03-23,highRisk,ended,1
81,KLUSTER HOSPITAL UMUM SARAWAK,2020-04-17,2020-03-31,highRisk,ended,14
82,KLUSTER HOSPITAL UMUM SARAWAK,2020-04-17,2020-03-31,highRisk,ended,1
83,KLUSTER PETUGAS KESIHATAN SABAH,2020-04-18,2020-04-03,highRisk,ended,13
84,KLUSTER PETUGAS KESIHATAN SABAH,2020-04-18,2020-04-03,highRisk,ended,1
85,"KLUSTER PESANTREN MAGETAN, JAWA TIMUR",2020-04-19,2020-04-19,import,ended,5
86,"KLUSTER PESANTREN MAGETAN, JAWA TIMUR",2020-04-19,2020-04-19,import,ended,6
87,"KLUSTER PESANTREN MAGETAN, JAWA TIMUR",2020-04-19,2020-04-19,import,ended,11
88,"KLUSTER PESANTREN MAGETAN, JAWA TIMUR",2020-04-19,2020-04-19,import,ended,14
89,"KLUSTER PESANTREN MAGETAN, JAWA TIMUR",2020-04-19,2020-04-19,import,ended,17
90,"KLUSTER PESANTREN MAGETAN, JAWA TIMUR",2020-04-19,2020-04-19,import,ended,1
91,KLUSTER SEKSYEN 6 BANGI,2020-04-21,2020-03-17,community,ended,11
92,KLUSTER SEKSYEN 6 BANGI,2020-04-21,2020-03-17,community,ended,1
93,KLUSTER PENGERANG,2020-04-22,2020-03-23,highRisk,ended,2
94,KLUSTER PENGERANG,2020-04-22,2020-03-23,highRisk,ended,11
95,KLUSTER PENGERANG,2020-04-22,2020-03-23,highRisk,ended,1
96,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER PASAR HARIAN SELAYANG,2020-04-28,2020-03-23,religious,ended,11
97,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER PASAR HARIAN SELAYANG,2020-04-28,2020-03-23,religious,ended,15
98,SUBKLUSTER TABLIGH SRI PETALING - KLUSTER PASAR HARIAN SELAYANG,2020-04-28,2020-03-23,religious,ended,1
99,KLUSTER PASAR CHOW KIT,2020-04-28,2020-04-02,workplace,ended,11
100,KLUSTER PASAR CHOW KIT,2020-04-28,2020-04-02,workplace,ended,15
101,KLUSTER PASAR CHOW KIT,2020-04-28,2020-04-02,workplace,ended,1
102,KLUSTER SELAYANG BARU,2020-04-30,2020-04-28,community,ended,11
103,KLUSTER SELAYANG BARU,2020-04-30,2020-04-28,community,ended,1
104,KLUSTER KAMPUNG BARU,2020-05-01,2020-03-15,community,ended,15
105,KLUSTER KAMPUNG BARU,2020-05-01,2020-03-15,community,ended,1
106,KLUSTER PEDAS,2020-05-02,2020-04-12,workplace,ended,5
107,KLUSTER PEDAS,2020-05-02,2020-04-12,workplace,ended,6
108,KLUSTER PEDAS,2020-05-02,2020-04-12,workplace,ended,1
109,"KLUSTER TAHFIZ INTEGRASI IBNU SOLEH, LANCHANG",2020-05-02,2020-05-02,religious,ended,7
110,"KLUSTER TAHFIZ INTEGRASI IBNU SOLEH, LANCHANG",2020-05-02,2020-05-02,religious,ended,1
111,KLUSTER TAPAK PEMBINAAN KUALA LUMPUR,2020-05-03,2020-04-26,workplace,ended,15
