id,date,checkins,unique_ind,unique_loc,checkins_to_ind_ratio,state_id,checkins_to_unique_loc_ratio
1,2020-12-01,17492265,6614474,630363,2.644543618,1,27.749511
2,2020-12-02,17695726,6667261,648752,2.654122285,1,27.27656485
3,2020-12-03,17063123,6549583,645604,2.605222806,1,26.42970459
4,2020-12-04,18350879,6803979,622383,2.697080488,1,29.48486543
5,2020-12-05,19711082,6845366,573132,2.879478175,1,34.39187133
6,2020-12-06,18446273,6516281,439135,2.830797659,1,42.00592756
7,2020-12-07,17691454,6738929,643921,2.625261967,1,27.47457219
8,2020-12-08,18024878,6805439,657047,2.648598863,1,27.43316384
9,2020-12-09,18082383,6786580,661302,2.664432306,1,27.34360852
10,2020-12-10,17730193,6759771,658644,2.622898468,1,26.91923558
11,2020-12-11,19138526,6898051,588292,2.774483111,1,32.53235808
12,2020-12-12,19737390,6878470,567707,2.869444804,1,34.76686037
13,2020-12-13,18916254,6678491,441427,2.832414388,1,42.85250789
14,2020-12-14,17416783,6676176,641131,2.608796263,1,27.16571652
15,2020-12-15,17653991,6751043,653437,2.615002008,1,27.01712789
16,2020-12-16,18130898,6803611,655669,2.664893393,1,27.65251674
17,2020-12-17,18559087,6922036,656199,2.681160138,1,28.28271149
18,2020-12-18,19295829,7027003,625373,2.745954285,1,30.85491219
19,2020-12-19,21146173,7173478,575948,2.947827121,1,36.71542049
20,2020-12-20,19608275,6824224,440911,2.873334023,1,44.47218373
21,2020-12-21,18450195,6904791,636038,2.672085947,1,29.00800738
22,2020-12-22,19163238,7004242,658356,2.735947444,1,29.10771376
23,2020-12-23,20070232,7123054,663909,2.81764423,1,30.23039603
24,2020-12-24,20711984,7258723,648535,2.853392256,1,31.93657089
25,2020-12-25,19323734,6701401,443202,2.883536443,1,43.6002861
26,2020-12-26,18964818,6748611,539929,2.810180939,1,35.12465157
27,2020-12-27,18737734,6698745,432619,2.79720067,1,43.31232331
28,2020-12-28,19075168,7017510,642311,2.718224555,1,29.69771341
29,2020-12-29,18694967,6951854,652802,2.68920593,1,28.63803573
30,2020-12-30,19850628,7126469,659245,2.785478755,1,30.11115443
31,2020-12-31,20769671,7356546,650077,2.823291121,1,31.94955521
32,2021-01-01,18926326,6711607,421727,2.819939547,1,44.87814629
