state,state_id,pop,pop_18,pop_60
Malaysia,1,32657400,23409600,3502000
Johor,2,3781000,2711900,428700
Kedah,3,2185100,1540600,272500
Kelantan,4,1906700,1236200,194100
Melaka,5,932700,677400,118500
Negeri Sembilan,6,1128800,814400,145000
Pahang,7,1678700,1175800,190200
Pulau Pinang,8,1773600,1367200,239200
Perak,9,2510300,1862700,397300
Perlis,10,254900,181200,35100
Selangor,11,6538000,4747900,575800
Terengganu,12,1259300,808400,115200
Sabah,13,3908500,2758400,238900
Sarawak,14,2816500,2042700,332800
W.P. Kuala Lumpur,15,1773700,1348600,205800
W.P. Labuan,16,99600,68500,7900
W.P. Putrajaya,17,110000,67700,5000
