,date,temp,state_id,state
1,2020-01-01,27.3,2,Johor
2,2020-01-01,29.3,3,Kedah
3,2020-01-01,27.9,4,Kelantan
4,2020-01-01,28.1,5,Melaka
5,2020-01-01,26.4,7,Pahang
6,2020-01-01,29.3,8,Pulau Pinang
7,2020-01-01,28.2,9,Perak
8,2020-01-01,29.3,10,Perlis
9,2020-01-01,29.35,11,Selangor
10,2020-01-01,27.15,12,Terengganu
11,2020-01-01,28.233333333333334,13,Sabah
12,2020-01-01,26.95,14,Sarawak
13,2020-01-01,29.3,15,W.P. Kuala Lumpur
14,2020-01-01,28.7,16,W.P. Labuan
15,2020-01-01,29.4,17,W.P. Putrajaya
16,2020-01-02,27.4,2,Johor
17,2020-01-02,28.9,3,Kedah
18,2020-01-02,27.7,4,Kelantan
19,2020-01-02,26.6,5,Melaka
20,2020-01-02,26.6,7,Pahang
21,2020-01-02,28.9,8,Pulau Pinang
22,2020-01-02,27.9,9,Perak
23,2020-01-02,28.9,10,Perlis
24,2020-01-02,28.1,11,Selangor
25,2020-01-02,27.15,12,Terengganu
26,2020-01-02,27.53333333333333,13,Sabah
27,2020-01-02,27.35,14,Sarawak
28,2020-01-02,28.1,15,W.P. Kuala Lumpur
29,2020-01-02,28.3,16,W.P. Labuan
30,2020-01-02,28.1,17,W.P. Putrajaya
31,2020-01-03,27.7,2,Johor
32,2020-01-03,29.3,3,Kedah
33,2020-01-03,27.4,4,Kelantan
34,2020-01-03,26.9,5,Melaka
35,2020-01-03,26.5,7,Pahang
36,2020-01-03,29.3,8,Pulau Pinang
37,2020-01-03,28.5,9,Perak
38,2020-01-03,29.3,10,Perlis
39,2020-01-03,28.0,11,Selangor
40,2020-01-03,26.95,12,Terengganu
41,2020-01-03,27.03333333333333,13,Sabah
42,2020-01-03,26.4,14,Sarawak
43,2020-01-03,28.3,15,W.P. Kuala Lumpur
44,2020-01-03,28.3,16,W.P. Labuan
45,2020-01-03,27.7,17,W.P. Putrajaya
46,2020-01-04,27.3,2,Johor
47,2020-01-04,29.4,3,Kedah
48,2020-01-04,27.3,4,Kelantan
49,2020-01-04,27.8,5,Melaka
50,2020-01-04,26.4,7,Pahang
51,2020-01-04,29.4,8,Pulau Pinang
52,2020-01-04,28.2,9,Perak
