,date,cases_new,state_id,cases_recovered,cases_death,cases_active,checkins,unique_ind,cumul_full,pop,percent_vax
0,2021-02-24,3545,1,3331,12,30572,19689234,7518288,3,32657400,0.0
1,2021-02-25,1924,1,3752,13,28738,20130990,7666194,5,32657400,0.0
2,2021-02-26,2253,1,3085,10,27903,20975140,7806991,8,32657400,0.0
3,2021-02-27,2364,1,3320,10,26937,22978495,7891208,14,32657400,0.0
4,2021-02-28,2437,1,3251,9,26118,22162834,7669665,19,32657400,0.0
5,2021-03-01,1828,1,2486,5,25456,20953407,7840380,25,32657400,0.0
6,2021-03-02,1555,1,2528,6,24474,20700283,7793948,30,32657400,0.0
7,2021-03-03,1745,1,2276,7,23939,21190929,7900984,36,32657400,0.0
8,2021-03-04,2063,1,2922,5,23077,20958097,7873858,51,32657400,0.0
9,2021-03-05,2154,1,3275,6,21948,22735217,8189101,58,32657400,0.0
10,2021-03-06,1680,1,2548,7,21076,24744388,8244487,61,32657400,0.0
11,2021-03-07,1683,1,2506,3,20248,23815997,8014707,67,32657400,0.0
12,2021-03-08,1529,1,2076,8,19695,22047643,8089433,81,32657400,0.0
13,2021-03-09,1280,1,2345,9,18622,21883324,8083106,143,32657400,0.0
14,2021-03-10,1448,1,2137,5,17926,22178402,8116565,154,32657400,0.0
15,2021-03-11,1647,1,2104,9,17465,21525692,7991892,162,32657400,0.0
16,2021-03-12,1575,1,2042,3,16995,24207087,8489338,171,32657400,0.0
17,2021-03-13,1470,1,1830,3,16632,28119159,8877443,173,32657400,0.0
18,2021-03-14,1354,1,1782,4,16200,26690371,8550602,177,32657400,0.0
19,2021-03-15,1208,1,1973,3,15431,25099040,8684914,180,32657400,0.0
20,2021-03-16,1063,1,1365,5,15126,25329641,8779561,186,32657400,0.0
21,2021-03-17,1219,1,1346,2,14997,26155181,8900957,249,32657400,0.0
22,2021-03-18,1213,1,1503,3,14706,26201631,8969359,1046,32657400,0.0
23,2021-03-19,1576,1,1996,2,14285,27595331,9182252,4880,32657400,0.0
24,2021-03-20,1671,1,1585,4,14366,29689492,9254296,10983,32657400,0.0
25,2021-03-21,1327,1,1247,4,14441,27617156,8840413,16827,32657400,0.0
26,2021-03-22,1116,1,1495,5,14060,25754661,8898696,31405,32657400,0.0
27,2021-03-23,1384,1,1058,1,14384,25172905,8795675,52279,32657400,0.0
28,2021-03-24,1268,1,1083,2,14565,25490630,8812055,75101,32657400,0.0
29,2021-03-25,1360,1,1491,2,14432,25494344,8893752,94470,32657400,0.0
30,2021-03-26,1275,1,1509,1,14197,27301577,9140120,107281,32657400,0.0
31,2021-03-27,1199,1,1257,2,14131,28515773,9125806,121716,32657400,0.0
32,2021-03-28,1302,1,1127,4,14303,27687633,8855842,134643,32657400,0.0
33,2021-03-29,941,1,1097,5,14143,25320414,8785294,162019,32657400,0.0
34,2021-03-30,1133,1,1148,4,14122,26845453,9037869,191426,32657400,0.01
35,2021-03-31,1482,1,1070,8,14525,27494131,9151370,218947,32657400,0.01
36,2021-04-01,1178,1,1377,6,14323,27532135,9233444,245505,32657400,0.01
37,2021-04-02,1294,1,1442,5,14173,28459542,9317396,268408,32657400,0.01
38,2021-04-03,1638,1,1449,3,14357,30683901,9522743,283153,32657400,0.01
39,2021-04-04,1349,1,1270,2,14430,27520616,8924546,292307,32657400,0.01
