,date,cases_new,state_id,cases_recovered,cases_death,cases_active,checkins,unique_ind,cumul_full,pop,percent_vax,temp
0,2021-02-24,318,2,518,0,6156,2074008,927705,0,3781000,0.0,25.8
1,2021-02-24,17,3,187,0,578,817989,413976,0,2185100,0.0,28.8
2,2021-02-24,53,4,100,0,698,278048,150824,0,1906700,0.0,25.7
3,2021-02-24,26,5,37,0,363,576245,259793,0,932700,0.0,27.5
4,2021-02-24,1392,6,119,0,2208,639575,304428,0,1128800,0.0,27.5
5,2021-02-24,8,7,20,0,249,815591,343895,0,1678700,0.0,26.2
6,2021-02-24,188,9,95,0,2544,1295549,565865,0,2510300,0.0,28.4
7,2021-02-24,0,10,1,0,14,200077,116463,0,254900,0.0,28.8
8,2021-02-24,95,8,95,1,1045,1303872,593038,0,1773600,0.0,28.8
9,2021-02-24,105,13,189,1,1092,1169850,445605,1,3908500,0.0,27.0
10,2021-02-24,353,14,147,0,2054,1313534,516331,2,2816500,0.0,26.425
11,2021-02-24,581,11,1322,2,10490,4302048,2070162,0,6538000,0.0,28.9
12,2021-02-24,22,12,63,1,297,354767,175197,0,1259300,0.0,25.95
13,2021-02-24,381,15,432,7,2711,3562969,1647182,0,1773700,0.0,29.4
14,2021-02-24,5,16,1,0,22,69982,28861,0,99600,0.0,26.2
15,2021-02-24,1,17,5,0,51,195780,113866,0,110000,0.0,28.4
16,2021-02-25,257,2,804,0,5609,2111278,942380,0,3781000,0.0,26.4
17,2021-02-25,29,3,9,0,598,851666,425646,0,2185100,0.0,28.4
18,2021-02-25,44,4,26,0,716,295996,158817,0,1906700,0.0,26.3
19,2021-02-25,22,5,57,0,327,580504,262407,0,932700,0.0,27.8
20,2021-02-25,62,6,96,0,2174,650959,312373,0,1128800,0.0,27.8
21,2021-02-25,19,7,24,0,244,845175,354586,0,1678700,0.0,26.5
22,2021-02-25,120,9,181,0,2483,1316318,575755,0,2510300,0.0,27.5
23,2021-02-25,1,10,1,0,14,210590,122595,0,254900,0.0,28.4
24,2021-02-25,162,8,154,1,1053,1342626,605690,0,1773600,0.0,28.4
25,2021-02-25,93,13,127,1,1057,1213525,458033,1,3908500,0.0,27.133333333333336
26,2021-02-25,219,14,244,2,2028,1331199,524795,4,2816500,0.0,26.375
27,2021-02-25,666,11,1604,9,9551,4385034,2115153,0,6538000,0.0,28.25
28,2021-02-25,6,12,46,0,257,373418,181733,0,1259300,0.0,26.4
29,2021-02-25,218,15,372,0,2555,3624553,1690621,0,1773700,0.0,28.9
30,2021-02-25,4,16,2,0,24,71994,29657,0,99600,0.0,26.2
31,2021-02-25,2,17,5,0,48,204087,118093,0,110000,0.0,27.6
32,2021-02-26,276,2,721,1,5164,2159912,952532,0,3781000,0.0,26.5
33,2021-02-26,25,3,55,0,568,806981,408806,0,2185100,0.0,28.3
34,2021-02-26,73,4,47,0,741,245412,139711,0,1906700,0.0,26.8
35,2021-02-26,13,5,31,0,309,622431,275384,0,932700,0.0,28.4
36,2021-02-26,68,6,145,0,2097,702042,330610,0,1128800,0.0,28.4
37,2021-02-26,21,7,43,0,222,885898,367908,0,1678700,0.0,27.8
38,2021-02-26,545,9,122,0,2906,1367326,594512,0,2510300,0.0,28.1
39,2021-02-26,4,10,5,0,13,214900,123407,0,254900,0.0,28.3
40,2021-02-26,93,8,128,0,1018,1422384,625146,0,1773600,0.0,28.3
41,2021-02-26,129,13,131,0,1055,1231709,462714,1,3908500,0.0,26.899999999999995
42,2021-02-26,250,14,166,2,2111,1409789,541448,7,2816500,0.0,26.825
43,2021-02-26,633,11,1149,4,9034,4655887,2209354,0,6538000,0.0,28.95
44,2021-02-26,1,12,11,0,247,276408,150430,0,1259300,0.0,27.3
45,2021-02-26,122,15,318,3,2359,3920050,1785825,0,1773700,0.0,29.2
46,2021-02-26,0,16,5,0,19,76773,30529,0,99600,0.0,26.8
47,2021-02-26,0,17,8,0,40,242938,136399,0,110000,0.0,28.7
48,2021-02-27,314,2,820,1,4656,2353751,977712,0,3781000,0.0,26.3
49,2021-02-27,17,3,65,0,520,910621,438612,1,2185100,0.0,28.1
50,2021-02-27,68,4,46,0,763,314211,163569,0,1906700,0.0,26.8
51,2021-02-27,17,5,27,0,298,678606,284132,0,932700,0.0,28.6
52,2021-02-27,74,6,109,0,2062,753430,334060,1,1128800,0.0,28.6
53,2021-02-27,8,7,19,0,211,879878,356651,0,1678700,0.0,27.6
54,2021-02-27,305,9,177,0,3032,1447865,602224,2,2510300,0.0,27.9
55,2021-02-27,0,10,0,0,13,212812,115826,0,254900,0.0,28.1
56,2021-02-27,155,8,112,0,1061,1499806,616538,0,1773600,0.0,28.1
57,2021-02-27,157,13,178,0,1034,1290069,454906,1,3908500,0.0,27.133333333333336
58,2021-02-27,255,14,258,1,2105,1521097,537335,9,2816500,0.0,27.4
59,2021-02-27,862,11,1132,2,8763,5315892,2313602,0,6538000,0.0,29.200000000000006
60,2021-02-27,11,12,30,0,228,370573,178446,0,1259300,0.0,27.200000000000006
61,2021-02-27,117,15,344,6,2131,4244357,1816475,0,1773700,0.0,29.3
62,2021-02-27,0,16,0,0,19,78786,29720,0,99600,0.0,27.3
63,2021-02-27,4,17,3,0,41,263675,142624,0,110000,0.0,29.1
64,2021-02-28,340,2,522,1,4474,2425483,990308,0,3781000,0.0,27.4
65,2021-02-28,13,3,73,0,460,969602,460176,2,2185100,0.0,28.8
66,2021-02-28,33,4,87,1,708,324407,170806,0,1906700,0.0,27.1
67,2021-02-28,10,5,36,1,272,637538,270470,0,932700,0.0,28.8
68,2021-02-28,65,6,32,0,2095,704826,315861,1,1128800,0.0,28.8
69,2021-02-28,11,7,9,0,213,800890,336748,0,1678700,0.0,27.3
70,2021-02-28,287,9,802,1,2517,1347486,574391,2,2510300,0.0,28.6
71,2021-02-28,0,10,0,0,13,182858,99328,0,254900,0.0,28.8
72,2021-02-28,105,8,105,0,1061,1398700,581284,0,1773600,0.0,28.8
73,2021-02-28,134,13,162,0,1005,1234884,437590,1,3908500,0.0,27.0
74,2021-02-28,171,14,216,2,2060,1468969,519449,12,2816500,0.0,26.575
75,2021-02-28,914,11,943,3,8731,5101079,2227024,1,6538000,0.0,28.15
76,2021-02-28,12,12,35,0,205,395099,190440,0,1259300,0.0,27.200000000000006
77,2021-02-28,337,15,223,0,2245,4060401,1771561,0,1773700,0.0,28.6
78,2021-02-28,2,16,3,0,18,71359,28002,0,99600,0.0,26.6
79,2021-02-28,3,17,3,0,41,276508,151866,0,110000,0.0,27.7
80,2021-03-01,490,2,246,0,4718,2163391,960982,0,3781000,0.0,26.8
81,2021-03-01,16,3,45,0,431,874271,436438,3,2185100,0.0,29.1
82,2021-03-01,36,4,44,0,700,293816,158729,0,1906700,0.0,27.6
83,2021-03-01,8,5,36,1,244,617488,273082,0,932700,0.0,28.7
84,2021-03-01,167,6,185,0,2077,681556,321195,1,1128800,0.0,28.7
85,2021-03-01,8,7,18,0,203,869630,362243,1,1678700,0.0,27.2
86,2021-03-01,144,9,148,0,2512,1366221,589300,3,2510300,0.0,28.6
87,2021-03-01,1,10,3,0,11,215825,123636,0,254900,0.0,29.1
88,2021-03-01,85,8,131,0,1015,1426994,622567,0,1773600,0.0,29.1
89,2021-03-01,104,13,73,2,1036,1210397,466294,1,3908500,0.0,26.4
90,2021-03-01,220,14,172,0,2107,1412808,541506,14,2816500,0.0,27.15
91,2021-03-01,453,11,1006,0,8176,4620424,2182306,2,6538000,0.0,28.9
92,2021-03-01,15,12,27,0,193,365115,180544,0,1259300,0.0,27.4
93,2021-03-01,75,15,341,2,1979,3791393,1747953,0,1773700,0.0,29.0
94,2021-03-01,0,16,3,0,15,77809,31054,0,99600,0.0,26.8
95,2021-03-01,6,17,8,0,39,222965,127051,0,110000,0.0,28.8
96,2021-03-02,163,2,434,0,4447,2191505,964799,0,3781000,0.0,27.5
97,2021-03-02,11,3,64,0,378,837032,422480,4,2185100,0.0,29.4
98,2021-03-02,46,4,52,0,694,289661,156250,0,1906700,0.0,27.7
99,2021-03-02,11,5,25,0,230,605963,269816,0,932700,0.0,28.3
100,2021-03-02,115,6,203,0,1989,670773,316538,1,1128800,0.0,28.3
101,2021-03-02,3,7,17,0,188,850988,356856,1,1678700,0.0,26.9
102,2021-03-02,63,9,142,1,2433,1314804,574423,3,2510300,0.0,28.4
103,2021-03-02,0,10,1,0,10,208034,121960,0,254900,0.0,29.4
104,2021-03-02,106,8,67,0,1054,1411334,620236,0,1773600,0.0,29.4
105,2021-03-02,53,13,85,1,1002,1248428,470068,2,3908500,0.0,27.2
106,2021-03-02,159,14,220,0,2045,1420460,541349,17,2816500,0.0,27.55
107,2021-03-02,672,11,905,3,7939,4484594,2150913,2,6538000,0.0,27.85
108,2021-03-02,7,12,33,0,167,361637,179867,0,1259300,0.0,27.3
109,2021-03-02,145,15,276,1,1847,3757775,1723610,0,1773700,0.0,27.4
110,2021-03-02,0,16,0,0,15,77000,31021,0,99600,0.0,28.1
111,2021-03-02,1,17,4,0,36,213292,123638,0,110000,0.0,28.3
112,2021-03-03,376,2,394,1,4429,2239690,979735,1,3781000,0.0,27.6
113,2021-03-03,40,3,27,0,391,843432,426154,4,2185100,0.0,27.9
114,2021-03-03,33,4,83,1,644,287851,156200,0,1906700,0.0,28.3
115,2021-03-03,36,5,16,0,250,615059,273222,0,932700,0.0,28.6
116,2021-03-03,24,6,45,0,1968,682494,320542,1,1128800,0.0,28.6
117,2021-03-03,36,7,14,0,210,858221,357993,1,1678700,0.0,27.8
118,2021-03-03,136,9,459,0,2110,1357698,586972,3,2510300,0.0,27.6
119,2021-03-03,0,10,0,0,10,207168,121385,0,254900,0.0,27.9
120,2021-03-03,90,8,99,0,1045,1439226,631034,0,1773600,0.0,27.9
121,2021-03-03,95,13,94,1,1003,1280343,477463,2,3908500,0.0,27.3
122,2021-03-03,139,14,165,1,2019,1444595,546390,19,2816500,0.0,27.625
123,2021-03-03,640,11,693,1,7882,4644223,2196444,2,6538000,0.0,28.25
124,2021-03-03,5,12,71,0,101,366706,181127,1,1259300,0.0,28.05
125,2021-03-03,92,15,108,2,1831,3857508,1751293,0,1773700,0.0,27.8
126,2021-03-03,0,16,7,0,8,79303,31516,2,99600,0.0,27.8
127,2021-03-03,3,17,1,0,38,215573,124673,0,110000,0.0,28.7
128,2021-03-04,255,2,381,0,4303,2208595,974048,4,3781000,0.0,28.3
129,2021-03-04,12,3,171,0,231,854920,430384,4,2185100,0.0,29.3
130,2021-03-04,44,4,28,0,660,299004,160753,0,1906700,0.0,28.2
131,2021-03-04,3,5,38,0,214,601546,270368,0,932700,0.0,28.9
132,2021-03-04,91,6,750,0,1309,672315,320557,1,1128800,0.0,28.9
133,2021-03-04,13,7,33,1,190,856601,361330,1,1678700,0.0,27.5
134,2021-03-04,101,9,103,0,2108,1325947,582680,3,2510300,0.0,28.8
135,2021-03-04,1,10,2,0,9,214262,125249,0,254900,0.0,29.3
136,2021-03-04,337,8,130,0,1252,1411231,626047,0,1773600,0.0,29.3
137,2021-03-04,78,13,94,0,987,1276223,477327,6,3908500,0.0,27.266666666666666
138,2021-03-04,361,14,279,0,2101,1367197,531421,24,2816500,0.0,26.1
